grid_id,lat,lon
0,43.21668546930433,-3.438579504000803
1,43.22434617287353,-3.440672530587453
2,43.232618890994395,-3.4426700435833646
3,43.23756005300436,-3.4456608466895418
4,43.15561919576178,-3.424728749916568
5,43.16197383339818,-3.426587425709064
6,43.1703009009314,-3.4283700653634814
7,43.17912464176973,-3.428922886277885
8,43.18812671972215,-3.4292197278200334
9,43.19704614291332,-3.4293853661233293
10,43.206305796167925,-3.429081960417234
11,43.21510450755053,-3.430365365962131
12,43.224107378026034,-3.4304309206100583
13,43.2330650179674,-3.4304276738881967
14,43.23933250814915,-3.429012553443112
15,43.13630489229286,-3.414935162435021
16,43.14330775284196,-3.4157285856830817
17,43.1523402035652,-3.4170515415684086
18,43.16112121901544,-3.4176876458478382
19,43.17012580827912,-3.4177490009283846
20,43.17913038324661,-3.41781038432082
21,43.18813494391762,-3.417871796040626
22,43.19713949029185,-3.4179332361032975
23,43.20614402236903,-3.4179947045243413
24,43.21514854014883,-3.418056201319275
25,43.22415304363099,-3.4181177265036298
26,43.2331575328152,-3.4181792800929487
27,43.24019597409047,-3.416793623778058
28,43.249508417822284,-3.412559012357591
29,43.137339447735656,-3.4079391186557366
30,43.143156213297615,-3.4052680736807415
31,43.15216084498879,-3.405327567115614
32,43.161165462388404,-3.4053870879987063
33,43.17017006549615,-3.4054466363450215
34,43.179174654311765,-3.405506212169575
35,43.18817922883493,-3.4055658154873925
36,43.19718378906534,-3.4056254463135116
37,43.20618833500273,-3.405685104662983
38,43.2151928666468,-3.4057447905508678
39,43.22419738399724,-3.4058045039922393
40,43.23320188705378,-3.405864245002183
41,43.24218340191912,-3.4059037048086265
42,43.24839370577521,-3.407241955380878
43,43.138622428066164,-3.3987004602706374
44,43.14355942192791,-3.3932227962850545
45,43.15220375258712,-3.3930287877192975
46,43.16120838341317,-3.393086502686353
47,43.17021299995126,-3.3931442442834236
48,43.179217602201106,-3.3932020125250686
49,43.188222190162435,-3.3932598074258586
50,43.197226763834905,-3.3933176290003755
51,43.206231323218276,-3.393375477263213
52,43.215235868312234,-3.3934333522289752
53,43.224240399116496,-3.3934912539122783
54,43.23324491563078,-3.3935491823277504
55,43.24220990065534,-3.393556168964658
56,43.25030447992912,-3.390934368190132
57,43.25923804150477,-3.3886687937563678
58,43.264891992120155,-3.387689135195869
59,43.14549811467141,-3.382516709588953
60,43.1522453382429,-3.380729981707516
61,43.161249982081735,-3.3807858907439856
62,43.1702546116364,-3.380841825577252
63,43.17925922690662,-3.3808977862214187
64,43.18826382789209,-3.3809537726906
65,43.19726841459252,-3.3810097849989216
66,43.206272987007615,-3.38106582316052
67,43.215277545137106,-3.3811218871895434
68,43.224282088980715,-3.3811779771001507
69,43.23328661853812,-3.3812340929065114
70,43.24229113380908,-3.3812902346228078
71,43.25129563479329,-3.381346402263231
72,43.26030012149049,-3.3814025958419855
73,43.26758556838415,-3.380281271105838
74,43.14763691943478,-3.3743045655717077
75,43.153602579249174,-3.3691649824900916
76,43.16129025838633,-3.3684852530048244
77,43.170294900543816,-3.368539381060183
78,43.17929952842051,-3.3685935340927564
79,43.188304142016136,-3.368647712116203
80,43.19730874133038,-3.368701915144192
81,43.20631332636299,-3.368756143190404
82,43.21531789711365,-3.3688103962685294
83,43.22432245358209,-3.3688646743922708
84,43.23332699576803,-3.3689189775753396
85,43.242331523671204,-3.3689733058314593
86,43.25133603729131,-3.3690276591743644
87,43.26034053662808,-3.3690820376177983
88,43.269142507325526,-3.3689649097257117
89,43.274090965877065,-3.368158029849031
90,43.15484171552812,-3.356913431865425
91,43.161329212319444,-3.356184590302098
92,43.17033386666598,-3.356236911565901
93,43.17933850673527,-3.356289256973222
94,43.188343132527024,-3.3563416265372648
95,43.19734774404097,-3.3563940202712415
96,43.206352341276826,-3.356446438188376
97,43.215356924234285,-3.3564988803019022
98,43.22436149291308,-3.3565513466250647
99,43.23336604731295,-3.356603837171118
100,43.2423705874336,-3.356656351953328
101,43.25137511327474,-3.356708890984969
102,43.260379624836126,-3.356761454279328
103,43.26904136772201,-3.356644830016931
104,43.27417764136996,-3.35157923513184
105,43.15629256827489,-3.3496167465701783
106,43.162451841803346,-3.347495367543282
107,43.170584330552174,-3.3441634607923825
108,43.1793761618436,-3.3439849556969694
109,43.188380799417494,-3.344035516788394
110,43.19738542271699,-3.344086101215135
111,43.20639003174185,-3.344136708989958
112,43.21539462649173,-3.3441873401256403
113,43.224399206966396,-3.3442379946349696
114,43.23340377316557,-3.344288672530743
